time,open,high,low,close,EMA Small,EMA Big
2024-07-28T06:00:00Z,67413,67564,67384,67481,67900.54837258741,68003.00397080556
2024-07-28T07:00:00Z,67439,67569,67335,67569,67849.54093065088,67963.5490643687
2024-07-28T08:00:00Z,67560,67560,67233,67365,67774.9961720892,67909.13551306244
2024-07-28T09:00:00Z,67365,67542,67321,67430,67721.91983792164,67865.57773914767
2024-07-28T10:00:00Z,67433,67672,67401,67568,67698.23986285678,67838.52521740698
2024-07-28T11:00:00Z,67556,67987,67556,67833,67718.97219164803,67838.02292491544
2024-07-28T12:00:00Z,67834,68109,67741,68020,67765.28416216372,67854.56629537766
2024-07-28T13:00:00Z,67990,68044,67871,67993,67800.31736798468,67867.15117761606
2024-07-28T14:00:00Z,67985,68026,67661,67753,67793.03777291012,67856.77379783278
2024-07-28T15:00:00Z,67718,67776,67596,67643,67769.95503861626,67837.33981621162
2024-07-28T16:00:00Z,67652,67742,67617,67670,67754.5773403676,67822.12710564693
2024-07-28T17:00:00Z,67674,67979,67674,67977,67788.79621108028,67836.20645967903
2024-07-28T18:00:00Z,67977,68298,67928,68229,67856.51987091408,67871.91496334458
2024-07-28T19:00:00Z,68224,68282,68086,68107,67895.05527538883,67893.28633031325
2024-07-28T20:00:00Z,68108,68171,67963,68006,67912.12369455978,67903.5330275575
2024-07-28T21:00:00Z,68003,68069,67817,68026,67929.64312616596,67914.66638868864
2024-07-28T22:00:00Z,68026,68249,67955,68010,67942.00572214043,67923.33308062603
2024-07-28T23:00:00Z,68010,68265,67956,68264,67991.5433033496,67954.30280056912
2024-07-29T00:00:00Z,68240,68998,68165,68726,68104.53664129581,68024.45709142646
2024-07-29T01:00:00Z,68726,68832,68367,68555,68173.83869648106,68072.68826493315
2024-07-29T02:00:00Z,68550,69590,68550,69533,68382.94043548398,68205.44387721196
2024-07-29T03:00:00Z,69550,69780,69297,69347,68531.25729156336,68309.22170655633
2024-07-29T04:00:00Z,69369,69455,69265,69337,68655.21770824592,68402.6560968694
2024-07-29T05:00:00Z,69400,69781,69381,69697,68815.49190697732,68520.32372442672
2024-07-29T06:00:00Z,69701,69848,69571,69591,68934.80084436543,68617.65793129701
2024-07-29T07:00:00Z,69577,69603,69447,69519,69024.67763753998,68699.59811936092
2024-07-29T08:00:00Z,69537,69706,69385,69457,69091.18877022613,68768.45283578265
2024-07-29T09:00:00Z,69461,69615,69434,69514,69156.2366517298,68836.2298507115
2024-07-29T10:00:00Z,69521,69735,69386,69625,69228.35408992523,68907.93622791955
2024-07-29T11:00:00Z,69617,69831,69575,69577,69281.99192224442,68968.7602071996
2024-07-29T12:00:00Z,69605,69949,69388,69805,69362.45470343759,69044.78200654508
2024-07-29T13:00:00Z,69804,70016,69096,69253,69345.61551829334,69063.71091504098
2024-07-29T14:00:00Z,69258,69291,68062,68202,69169.67466932513,68985.37355912816
2024-07-29T15:00:00Z,68203,68285,67662,68086,69002.95548942896,68903.61232648014
2024-07-29T16:00:00Z,68083,68092,66807,66921,68682.65464490143,68723.37484225468
2024-07-29T17:00:00Z,66923,67158,66445,66992,68422.5539303012,68565.97712932243
2024-07-29T18:00:00Z,67002,67492,66930,67413,68267.2379410241,68461.16102665676
2024-07-29T19:00:00Z,67412,67533,67230,67279,68115.20133471269,68353.69184241524
2024-07-29T20:00:00Z,67286,67391,67154,67375,68001.32420629535,68264.71985674113
2024-07-29T21:00:00Z,67363,67502,67020,67492,67922.96663609607,68194.47259703738
2024-07-29T22:00:00Z,67478,67540,67141,67223,67815.27946131206,68106.15690639762
2024-07-29T23:00:00Z,67217,67264,66607,66780,67656.00569803329,67985.5971876342
2024-07-30T00:00:00Z,66765,66841,65867,66598,67493.23559064356,67859.45198875836
2024-07-30T01:00:00Z,66588,66855,66065,66196,67293.6608843907,67708.22908068942
2024-07-30T02:00:00Z,66214,66447,65954,66412,67158.0207483306,67590.39007335402
2024-07-30T03:00:00Z,66417,66666,66370,66610,67073.70986397205,67501.26370304912
2024-07-30T04:00:00Z,66588,66798,66511,66798,67031.2929618225,67437.33063913556
2024-07-30T05:00:00Z,66790,66790,66328,66480,66946.47866000366,67350.30058103232
2024-07-30T06:00:00Z,66476,66770,66459,66760,66917.78963538771,67296.63689184756
2024-07-30T07:00:00Z,66759,66982,66759,66935,66920.4373837896,67263.76081077052
2024-07-30T08:00:00Z,66933,66983,66712,66766,66896.6777862835,67218.50982797319
2024-07-30T09:00:00Z,66775,66879,66439,66599,66850.88120377835,67162.1907527029
2024-07-30T10:00:00Z,66598,66671,66407,66571,66807.82255704323,67108.44613882081
2024-07-30T11:00:00Z,66567,66702,66474,66572,66771.54216365196,67059.67830801892
2024-07-30T12:00:00Z,66566,66799,66232,66651,66752.99721539782,67022.52573456266
2024-07-30T13:00:00Z,66651,66919,66327,66379,66695.45918225968,66964.02339505697
2024-07-30T14:00:00Z,66370,66423,65654,65785,66555.38853883512,66856.83945005179
2024-07-30T15:00:00Z,65770,66300,65550,66194,66499.79030209125,66796.5813182289
2024-07-30T16:00:00Z,66189,66531,66121,66156,66446.89948638491,66738.34665293536
2024-07-30T17:00:00Z,66165,66190,65678,65849,66354.91495001799,66657.49695721397
2024-07-30T18:00:00Z,65845,66049,65599,65814,66271.69726539984,66580.81541564906
