time,open,high,low,close
2023-01-14T02:00:00Z,20934.3,21054.06,20836.3,20938.15
2023-01-14T03:00:00Z,20940.08,20984.33,20787.46,20971.44
2023-01-14T04:00:00Z,20969.12,21033.15,20883.26,20897.64
2023-01-14T05:00:00Z,20897.64,20917.8,20781.65,20843.52
2023-01-14T06:00:00Z,20844.14,20976.68,20842.46,20958.49
2023-01-14T07:00:00Z,20958.28,20971.8,20853.46,20904.73
2023-01-14T08:00:00Z,20902.37,21027.17,20879.8,21007.74
2023-01-14T09:00:00Z,21005.84,21013.03,20313.55,20527.51
2023-01-14T10:00:00Z,20527.52,20528.69,20233.33,20501.13
2023-01-14T11:00:00Z,20502.03,20751.23,20476.98,20726.87
2023-01-14T12:00:00Z,20726.22,20966.08,20580,20915.43
2023-01-14T13:00:00Z,20915.34,20985,20789.39,20941.03
2023-01-14T14:00:00Z,20940.89,21200,20548.22,20839.55
2023-01-14T15:00:00Z,20839.51,20894.27,20638.18,20788.67
2023-01-14T16:00:00Z,20788.66,20869.19,20752.16,20812.77
2023-01-14T17:00:00Z,20812.77,20912.03,20728.31,20757.77
2023-01-14T18:00:00Z,20756.79,20804.19,20661.62,20762.16
2023-01-14T19:00:00Z,20762.15,20863.42,20721.79,20786.61
2023-01-14T20:00:00Z,20786.59,20907.39,20760.33,20880.09
2023-01-14T21:00:00Z,20880.08,20950,20830.35,20902.65
2023-01-14T22:00:00Z,20901.4,21026.36,20864.6,20992.25
2023-01-14T23:00:00Z,20990.49,21077.76,20941.51,20957.02
2023-01-15T00:00:00Z,20956.2,21005.99,20635,20770.56
2023-01-15T01:00:00Z,20771.62,20793.33,20650.95,20772.01
2023-01-15T02:00:00Z,20772.75,20819.4,20671.36,20676.16
2023-01-15T03:00:00Z,20674.44,20746.89,20560.16,20721.62
2023-01-15T04:00:00Z,20723.06,20763.06,20681.64,20702.5
2023-01-15T05:00:00Z,20701.54,20789.38,20679.04,20752.7
2023-01-15T06:00:00Z,20751.98,20793.04,20699.77,20720.03
2023-01-15T07:00:00Z,20719.82,20742.01,20668.73,20737.91
2023-01-15T08:00:00Z,20738.27,20756.4,20595.57,20621.92
2023-01-15T09:00:00Z,20620.8,20758.63,20578.2,20752.91
2023-01-15T10:00:00Z,20755.65,20763.53,20696.54,20736.21
2023-01-15T11:00:00Z,20736.17,20746.38,20667.25,20725.67
2023-01-15T12:00:00Z,20727.45,20747.92,20657,20698.35
2023-01-15T13:00:00Z,20698.12,20858.65,20689.94,20709.13
2023-01-15T14:00:00Z,20710.55,20826.21,20684.54,20794.3
2023-01-15T15:00:00Z,20795.59,20999.98,20785.16,20915.64
2023-01-15T16:00:00Z,20915.87,20968.03,20859.2,20879.6
2023-01-15T17:00:00Z,20879.56,21057.3,20875.95,20926.93
2023-01-15T18:00:00Z,20924.62,20927.27,20671.91,20823.16
2023-01-15T19:00:00Z,20823.34,20907.66,20780.7,20875.12
2023-01-15T20:00:00Z,20875.12,20934.66,20839.9,20910.4
2023-01-15T21:00:00Z,20911.89,20938.17,20867.63,20906.1
2023-01-15T22:00:00Z,20908.19,20962.82,20749.01,20916.08
2023-01-15T23:00:00Z,20917.56,20945.47,20845.35,20879.7
2023-01-16T00:00:00Z,20879.67,21005.61,20776.9,20971.43
2023-01-16T01:00:00Z,20973.45,21333,20916.23,21188.71
2023-01-16T02:00:00Z,21189.16,21437.02,21129.16,21214.22
2023-01-16T03:00:00Z,21215.33,21235.18,21037.88,21084.71
2023-01-16T04:00:00Z,21084.52,21173.89,21044.6,21157.08
